City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Narsaq,GL,2023-01-04 12:28:16,60.9167,-46.05,3.42,70,100,12.17
136,Barrow,US,2023-01-04 12:24:01,71.2906,-156.7887,8.62,85,100,13.8
137,Presidencia Roque Saenz Pena,AR,2023-01-04 12:27:19,-26.7852,-60.4388,73.31,43,1,6.69
138,Adrar,MR,2023-01-04 12:29:17,20.5022,-10.0711,72.3,12,0,15.68
139,Bambous Virieux,MU,2023-01-04 12:29:18,-20.3428,57.7575,84.22,78,75,5.75
140,Malakal,SS,2023-01-04 12:29:18,9.5334,31.6605,94.44,21,2,9.22
141,San Patricio,US,2023-01-04 12:29:21,28.017,-97.5169,58.84,55,34,6.64
142,Mnogovershinnyy,RU,2023-01-04 12:29:22,53.9353,139.9242,-5.39,96,94,5.39
143,Tugulym,RU,2023-01-04 12:29:22,57.0591,64.6425,0.32,99,90,0.27
144,Limoux,FR,2023-01-04 12:29:23,42.9167,2.1667,53.96,61,71,5.91
145,Gazanjyk,TM,2023-01-04 12:29:23,39.2446,55.5154,63.77,29,0,5.12
146,Mgandu,TZ,2023-01-04 12:29:24,-5.95,34.1333,76.06,49,56,4.85
147,Hasaki,JP,2023-01-04 12:29:25,35.7333,140.8333,36.21,44,57,14.54
148,Vao,NC,2023-01-04 12:29:25,-22.6667,167.4833,75.74,68,76,3.76
149,Pevek,RU,2023-01-04 12:29:26,69.7008,170.3133,-30.21,94,100,5.17
150,Bud,US,2023-01-04 12:29:27,39.447,-86.1758,48.22,84,100,5.53
151,Luderitz,NA,2023-01-04 12:29:28,-26.6481,15.1594,74.12,60,11,27.31
152,Jieshi,CN,2023-01-04 12:29:28,22.8134,115.8257,60.15,81,19,21.83
153,Coquimbo,CL,2023-01-04 12:29:29,-29.9533,-71.3436,62.33,88,100,5.75
154,Laguna,US,2023-01-04 12:29:29,38.421,-121.4238,49.78,95,100,10.36
155,Fairbanks,US,2023-01-04 12:25:00,64.8378,-147.7164,-7.64,77,20,3.44
156,Olinda,BR,2023-01-04 12:29:31,-8.0089,-34.8553,83.93,61,40,8.05
157,Churapcha,RU,2023-01-04 12:29:32,62.0025,132.4325,-22.54,98,100,5.28
158,Itarema,BR,2023-01-04 12:29:34,-2.9248,-39.9167,84.69,63,32,16.53
159,Dwarka,IN,2023-01-04 12:29:35,22.2394,68.9678,72.84,31,0,17.09
160,Teluk Nibung,ID,2023-01-04 12:29:35,3.001,99.8164,78.31,84,100,4.25
161,Arman,RU,2023-01-04 12:29:36,59.7,150.1667,-4.99,78,93,9.37
162,Hambantota,LK,2023-01-04 12:29:36,6.1241,81.1185,81.19,71,65,17.52
163,Valparaiso,CL,2023-01-04 12:29:36,-33.0393,-71.6273,65.48,97,100,8.05
164,Karanganyar,ID,2023-01-04 12:29:36,-6.7072,111.0834,76.73,88,83,6.64
165,Mudanjiang,CN,2023-01-04 12:29:37,44.5833,129.6,-5.24,95,4,3.91
166,Hilo,US,2023-01-04 12:29:37,19.7297,-155.09,70.25,74,100,6.91
167,Lasa,IT,2023-01-04 12:29:37,46.6166,10.7002,50.88,59,28,2.13
168,Nizhnyaya Tavda,RU,2023-01-04 12:29:38,57.6731,66.1725,-7.82,100,65,3.91
169,Richards Bay,ZA,2023-01-04 12:29:38,-28.783,32.0377,90.79,51,2,12.57
170,Berlevag,NO,2023-01-04 12:29:38,70.8578,29.0864,31.95,74,75,11.5
171,Ishinomaki,JP,2023-01-04 12:29:39,38.4167,141.3,35.6,69,13,20.69
172,Collie,AU,2023-01-04 12:29:39,-33.3667,116.15,74.01,27,3,5.64
173,Chuy,UY,2023-01-04 12:29:39,-33.6971,-53.4616,74.25,47,7,9.44
174,Butaritari,KI,2023-01-04 12:29:40,3.0707,172.7902,80.87,76,69,15.39
175,Ciudad Bolivar,VE,2023-01-04 12:29:40,8.1222,-63.5497,74.71,84,97,8.37
176,Padang,ID,2023-01-04 12:29:40,-0.9492,100.3543,80.65,82,94,0.87
177,Mount Gambier,AU,2023-01-04 12:29:41,-37.8333,140.7667,53.01,81,3,6.82
178,Ongandjera,NA,2023-01-04 12:29:41,-17.8833,15.0667,66.07,84,100,12.59
179,Yulara,AU,2023-01-04 12:29:42,-25.2406,130.9889,69.46,55,100,13.27
180,Norden,DE,2023-01-04 12:29:42,53.6,7.2,54.14,97,99,1.99
181,Makubetsu,JP,2023-01-04 12:29:43,45.3714,141.8211,22.75,61,100,15.97
182,Palmer,US,2023-01-04 12:29:43,42.1584,-72.3287,45.95,92,100,0.0
183,Cayenne,GF,2023-01-04 12:25:05,4.9333,-52.3333,75.24,94,75,1.14
184,Rio Gallegos,AR,2023-01-04 12:29:43,-51.6226,-69.2181,60.85,44,40,41.43
185,Kalmar,SE,2023-01-04 12:30:44,56.6616,16.3616,40.93,94,100,18.41
186,Sterling,US,2023-01-04 12:27:55,39.0062,-77.4286,60.01,89,40,7.0
187,Saint-Francois,FR,2023-01-04 12:30:44,46.4154,3.9054,45.84,87,100,6.91
188,Broome,US,2023-01-04 12:30:44,42.2506,-75.833,55.85,97,100,6.91
189,Victoria,HK,2023-01-04 12:27:28,22.2855,114.1577,65.25,81,8,12.86
190,Arraial Do Cabo,BR,2023-01-04 12:30:45,-22.9661,-42.0278,85.96,58,0,10.36
191,Ostrovnoy,RU,2023-01-04 12:30:46,68.0531,39.5131,24.51,76,100,25.95
192,Raga,SS,2023-01-04 12:30:46,8.4596,25.678,90.73,19,0,9.8
193,Humaita,BR,2023-01-04 12:30:47,-7.5061,-63.0208,81.3,73,100,3.51
194,Zhigalovo,RU,2023-01-04 12:30:48,54.8097,105.1578,-16.56,100,81,1.25
195,Puteyets,RU,2023-01-04 12:30:48,65.1716,57.091,-5.71,100,98,2.1
196,Camana,PE,2023-01-04 12:30:49,-16.6228,-72.7111,72.57,77,100,5.77
197,Hamilton,US,2023-01-04 12:30:20,39.1834,-84.5333,58.42,95,100,6.91
198,Vila Velha,BR,2023-01-04 12:30:49,-20.3297,-40.2925,82.35,76,40,14.97
199,Upernavik,GL,2023-01-04 12:30:50,72.7868,-56.1549,-19.01,75,66,6.91
200,San Ignacio,BZ,2023-01-04 12:30:50,17.1561,-89.0714,64.54,100,100,4.61
201,Maniitsoq,GL,2023-01-04 12:30:50,65.4167,-52.9,9.52,65,54,9.6
202,Tura,IN,2023-01-04 12:30:51,25.5198,90.2201,58.24,71,0,3.47
203,Paranaiba,BR,2023-01-04 12:30:51,-19.6772,-51.1908,71.29,93,100,8.72
204,Buchanan,LR,2023-01-04 12:30:52,5.8808,-10.0467,87.6,28,6,3.62
205,Nanortalik,GL,2023-01-04 12:30:53,60.1432,-45.2371,25.56,78,100,15.68
206,Hofn,IS,2023-01-04 12:30:53,64.2539,-15.2082,37.42,60,100,13.8
207,Krasnogorsk,RU,2023-01-04 12:30:54,55.8225,37.3181,25.14,80,100,11.18
208,Cabo Rojo,PR,2023-01-04 12:30:54,18.0866,-67.1457,77.22,88,11,1.01
209,Bengkulu,ID,2023-01-04 12:27:12,-3.8004,102.2655,77.95,83,99,5.73
210,Wakkanai,JP,2023-01-04 12:30:55,45.4094,141.6739,24.94,58,100,19.77
211,Preobrazheniye,RU,2023-01-04 12:30:55,42.9019,133.9064,12.25,77,3,10.49
212,Seoul,KR,2023-01-04 12:28:16,37.5683,126.9778,24.4,69,0,2.3
213,Lorengau,PG,2023-01-04 12:30:56,-2.0226,147.2712,78.53,84,100,7.67
214,College,US,2023-01-04 12:30:09,64.8569,-147.8028,6.58,80,20,3.44
215,La Ronge,CA,2023-01-04 12:30:08,55.1001,-105.2842,3.45,78,0,1.14
216,Ponta Delgada,PT,2023-01-04 12:30:57,37.7333,-25.6667,61.52,82,20,12.66
217,Polunochnoye,RU,2023-01-04 12:30:57,60.8697,60.4153,-18.62,100,90,2.37
218,East London,ZA,2023-01-04 12:30:58,-33.0153,27.9116,72.54,78,75,20.71
219,Atar,MR,2023-01-04 12:30:58,20.5169,-13.0499,78.69,10,6,18.01
220,Lumphat,KH,2023-01-04 12:30:58,13.4878,106.9816,77.56,57,100,8.9
221,Ixtapa,MX,2023-01-04 12:30:59,20.7,-105.2,66.22,100,0,0.0
222,Guerrero Negro,MX,2023-01-04 12:29:13,27.9769,-114.0611,56.73,86,39,5.26
223,Lamar,US,2023-01-04 12:30:59,33.6668,-95.5836,39.36,84,0,8.05
224,Gamba,GA,2023-01-04 12:31:00,-2.65,10.0,82.54,72,68,8.5
225,Rawlins,US,2023-01-04 12:31:00,41.7911,-107.2387,17.49,73,40,26.46
226,Majene,ID,2023-01-04 12:31:00,-3.5403,118.9707,79.48,74,94,3.29
227,San Cristobal,VE,2023-01-04 12:31:01,7.7669,-72.225,62.78,76,95,1.25
228,Silale,LT,2023-01-04 12:27:12,55.4906,22.1814,35.37,89,100,7.81
229,San Felipe,VE,2023-01-04 12:31:01,10.3399,-68.7425,73.09,85,97,5.41
230,Paita,PE,2023-01-04 12:31:02,-5.0892,-81.1144,69.35,78,95,6.76
231,Qaqortoq,GL,2023-01-04 12:31:03,60.7167,-46.0333,19.71,70,100,12.64
232,Leiyang,CN,2023-01-04 12:31:04,26.4024,112.8591,51.75,76,0,3.69
233,Port Elizabeth,ZA,2023-01-04 12:27:47,-33.918,25.5701,76.32,65,20,18.41
234,Faya,SA,2023-01-04 12:32:05,18.3851,42.4509,68.11,44,8,10.11
235,Beberibe,BR,2023-01-04 12:32:07,-4.1797,-38.1306,85.26,60,89,13.65
236,Vila Franca Do Campo,PT,2023-01-04 12:32:09,37.7167,-25.4333,61.21,80,100,14.25
237,Harrai,IN,2023-01-04 12:32:11,22.6167,79.2167,58.68,53,0,5.46
238,Kumluca,TR,2023-01-04 12:32:13,36.3703,30.2869,62.96,41,5,3.51
239,Peski,RU,2023-01-04 12:32:14,55.2163,38.7626,15.57,95,13,5.88
240,Sisimiut,GL,2023-01-04 12:32:15,66.9395,-53.6735,5.02,74,35,13.44
241,Puerto Penasco,MX,2023-01-04 12:32:16,31.3167,-113.5333,59.14,65,40,6.73
242,Araouane,ML,2023-01-04 12:32:17,18.9048,-3.5265,78.08,12,1,10.63
243,Georgetown,MY,2023-01-04 12:32:17,5.4112,100.3354,76.95,93,40,2.3
244,Bilibino,RU,2023-01-04 12:32:18,68.0546,166.4372,-43.46,99,51,2.24
245,Tartus,SY,2023-01-04 12:32:19,34.889,35.8866,63.07,40,3,3.76
246,Pak Thong Chai,TH,2023-01-04 12:32:20,14.7226,102.0251,78.66,63,20,4.99
247,Cuenca,EC,2023-01-04 12:32:21,-2.8833,-78.9833,50.13,81,40,2.3
248,Katol,IN,2023-01-04 12:32:21,21.2667,78.5833,67.5,50,100,4.27
249,Yar-Sale,RU,2023-01-04 12:32:22,66.8333,70.8333,4.91,95,100,16.71
