City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Maine-Soroa,NE,13.2114,12.0241,83.98,12,22,14.61,few clouds
324,Hofn,IS,64.2539,-15.2082,31.82,71,100,18.59,light snow
325,Maumere,ID,-8.6199,122.2111,80.28,83,41,5.7,scattered clouds
326,Marzuq,YE,14.4,46.4667,78.39,31,1,11.05,clear sky
327,Qaqortoq,GL,60.7167,-46.0333,11.35,70,100,4.97,overcast clouds
328,Shelby,US,35.2001,-89.8668,55.9,69,100,3.44,overcast clouds
329,Sobolevo,RU,54.4299,31.8996,6.67,87,79,3.11,broken clouds
330,Makat,KZ,47.6469,53.3463,16.66,83,100,28.36,light snow
331,Batemans Bay,AU,-35.7167,150.1833,63.1,77,93,3.8,overcast clouds
332,Naze,JP,28.3667,129.4833,58.12,61,0,15.99,clear sky
333,Huichapan,MX,20.3833,-99.65,47.39,77,0,3.06,clear sky
334,Yar-Sale,RU,66.8333,70.8333,-37.43,100,96,6.76,overcast clouds
335,Nishihara,JP,26.1842,127.7558,60.08,67,20,14.97,few clouds
336,Simpang,ID,-1.2667,104.0833,75.76,93,18,2.89,few clouds
337,Corum,TR,40.5,34.75,39.33,54,35,3.89,scattered clouds
338,Arroio Grande,BR,-32.2375,-53.0869,80.69,43,0,10.89,clear sky
339,Chara,RU,56.9064,118.2631,-5.01,86,100,0.89,overcast clouds
340,Dicabisagan,PH,17.0818,122.4157,73.49,80,95,7.7,overcast clouds
341,Banjar,ID,-8.19,114.9675,78.87,87,47,6.4,scattered clouds
342,Bengkulu,ID,-3.8004,102.2655,76.32,89,81,6.78,moderate rain
343,Honiara,SB,-9.4333,159.95,77.99,89,98,1.83,overcast clouds
344,Miraflores,MX,19.2167,-98.8083,50.04,78,0,2.48,clear sky
345,Booue,GA,-0.0921,11.9385,90.27,50,100,2.82,overcast clouds
346,Phayao,TH,19.25,100.25,61.92,58,0,0.38,clear sky
347,Thinadhoo,MV,0.5333,72.9333,81.23,78,80,15.32,broken clouds
